Company Name,Address,Province,Facebook,Website,Contact Person,Telephone,Email,Priority
Studio Miti,2 ซอยสังคมสงเคราะห์ 6 แยก 2 ถนนสังคมสงเคราะห์ แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพฯ,กรุงเทพมหานคร,https://www.facebook.com/studiomitidesign/,http://www.studiomiti.com/,,0-2513-4730,,MEDIUM
Taak Interior and Architect,36/103 อาคารพีเอส ทาวเวอร์ ชั้น 32 สุขุมวิท 21 (อโศก) แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพฯ,กรุงเทพมหานคร,https://www.facebook.com/Taak-Interior-and-Architect-226893847389171/,http://www.taak.co.th/,,0-2261-3792-9,,MEDIUM
Thongtha by Thaipanstudio House,45/299 หมู่บ้านไพศาลปาร์ควิลล์ ซอยวัดสุขใจ13 ถนนนิมิตรใหม่ แขวงสามวาตะวันออก เขตคลองสามวากรุงเทพฯ,กรุงเทพมหานคร,https://www.facebook.com/ThaipanstudioHouse/,,,09-4793-6464,,MEDIUM
Toscana Valley Interior,589/139-140 ชั้น 25 อาคารเซ็นทรัลซิตี้ทาวเวอร์ ถนนเทพรัตน แขวงบางนาเหนือ เขตบางนา กรุงเทพฯ,กรุงเทพมหานคร,,http://www.toscanavalley.com/homepage/,,0-2745-6999,,MEDIUM
Top Notch Studio,1104/248 หมู่บ้านโนเบิลคิวบ์ ถนนพัฒนาการ แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ,กรุงเทพมหานคร,,https://www.topnotchdesigner.com/,,08-9816-4100,,MEDIUM
Trimode Studio,136/4 ซอยมาตานุสรณ์ ถนนเจริญกรุง แขวงบางคอแหลม เขตบางคอแหลม กรุงเทพฯ,กรุงเทพมหานคร,https://www.facebook.com/trimodestudio/,http://trimodestudio.com/,,0-2688-2339,,MEDIUM
"Vaslab Co., Ltd.",344 ซอยสุขุมวิท 101 ถนนสุขุมวิท แขวงบางจาก เขตพระโขนง กรุงเทพฯ,กรุงเทพมหานคร,,http://www.vaslabarchitecture.com/,,0-2741-8099,,MEDIUM
Vin Varavarn Architects,42/1 ซอยต้นสน ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพฯ,กรุงเทพมหานคร,https://www.facebook.com/VinVaravarnArchitectsLimited/,,,0-2650-9558,,MEDIUM
Volume Matrix,189 ซอยเจริญราษฎร์ 7 แยก 35 ถนนเจริญราษฎร์ แขวงบางโคล่ เขตบางคอแหลม กรุงเทพฯ,กรุงเทพมหานคร,https://www.facebook.com/volumematrixstudio/,,,08-7823-3757,,MEDIUM
Walllasia,48/381 ซอยเสรีไทย 33 ถนนเสรีไทย แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพฯ,กรุงเทพมหานคร,https://www.facebook.com/Walllasia-KyaiSuriya-Architecture-430707344015407/,https://www.walllasia.com/,,0-2372-6151,,MEDIUM
ณัฎฐินี สุรพงษ์ประชา,1377/574 ถนนพหลโยธิน เขตพญาไท กรุงเทพฯ,กรุงเทพมหานคร,,,,09-6356-6995,gink.natthinee@gmail.com,MEDIUM
นภาภรณ์ โพธิรัชต์,141 หมู่บ้านไทม์โฮม ซอยพระรามเก้า 64 ถนนพระราม 9 แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ,กรุงเทพมหานคร,https://www.facebook.com/-Lexoda--328920033847460/,,,08-1267-3612,,MEDIUM
บูรณะสถาน,3653/1-4 ชั้น 4 อุดมสุขซอย 1 ถนนสุขุมวิท แขวงบางนา เขตบางนา กรุงเทพฯ,กรุงเทพมหานคร,https://www.facebook.com/buranasathann/,http://www.burana.co.th/,,09-0030-4500,,MEDIUM
แพรไพลิน จันทนโชติวงศ์,700/23 ถนนชายทะเล-บางขุนเทียน แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ,กรุงเทพมหานคร,https://www.facebook.com/renogoon/,,,08-6339-1385,,MEDIUM
สถาปนิกชุมชนและสิ่งแวดล้อม อาศรมศิลป์,399 ซอยอนามัยงามเจริญ 25 แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ,กรุงเทพมหานคร,https://www.facebook.com/arsomsilp/,http://www.arsomsilp.ac.th/,,0-2490-4748-54,,MEDIUM
LD Interior Design & Construction,Bangkok,กรุงเทพมหานคร,,https://www.ld-interiordesignandconstruction.com/,,02632853,,MEDIUM
Arsom Silp Institute,Bangkok,กรุงเทพมหานคร,https://www.facebook.com/arsomsilp/%3Flocale%3Dth_TH&amp;sa=U&amp;ved=2ahUKEwiM_s3Lp_CSAxUY-TgGHbh1ImcQFnoECAgQAg&amp;usg=AOvVaw35JH98p_Jov1x84Gtu3o9t,https://arsomsilparchitect.co.th/&amp;sa=U&amp;ved=2ahUKEwiM,,0-2490-4748,,MEDIUM
ANONARU Interior,Bangkok,กรุงเทพมหานคร,https://www.facebook.com/anonaru/,https://www.anonaru.com/,,0-88-898-2950,,MEDIUM
P.O. Architect & Interior,Bangkok,กรุงเทพมหานคร,https://www.facebook.com/P.O.architectandinterior/,https://www.po.co.th/,,02-404-4304,,MEDIUM
RAM Interior Design,Bangkok,กรุงเทพมหานคร,https://www.facebook.com/ramdesign.decoration/,https://raminteriordesign.com/,,085-1724436,,MEDIUM
US Furnish Consult,Bangkok,กรุงเทพมหานคร,,https://www.usfurnish.com/,,02632853,,MEDIUM
IDE Design,Bangkok,กรุงเทพมหานคร,,http://www.idecdesign.com/,,09-3975-7995,,MEDIUM
IWA Design Thailand,Bangkok,กรุงเทพมหานคร,,https://iwadesignthailand.com/,,02-530-1771,info.th@iwadesign.com,MEDIUM
AP Design Bangkok,Bangkok,กรุงเทพมหานคร,,https://www.apdesignbangkok.com/,,08-0796-2626,,MEDIUM
Kuhlmann by Gratia Thailand,Bangkok,กรุงเทพมหานคร,,https://gratiathailand.com/,,039108846,,MEDIUM
Living Inhabit,Bangkok,กรุงเทพมหานคร,,https://living-inhabit.com/,,0972591868,,MEDIUM
TKT Decoration (T.K.T.),Bangkok,กรุงเทพมหานคร,,https://www.tkt-decoration.com/,,00311860003,,MEDIUM
DWG Architecture,Bangkok,กรุงเทพมหานคร,,https://www.dwgarchitects.com/,,088613752,,MEDIUM
Architects 49 (A49),Bangkok,กรุงเทพมหานคร,,https://www.a49.co.th/,,0-2259-3535,,MEDIUM
10 Design,Bangkok 10220,กรุงเทพมหานคร,,https://10.design/,,0-86-396-5821,,MEDIUM
August Design,Bangkok/Khon Kaen,กรุงเทพมหานคร,,http://www.august.co.th/,,02319-7575,info@august.co.th,MEDIUM
Onion Architecture,Bangkok,กรุงเทพมหานคร,,https://www.onion.co.th/,,0-2679-8282,,MEDIUM
AAN Design,Bangkok,กรุงเทพมหานคร,,https://www.aandesign.com/,,02-692-6626,,MEDIUM
Arsom Silp,Bangkok,กรุงเทพมหานคร,https://www.facebook.com/arsom/,https://www.arsomsilp.ac.th/,,0-2490-4748,,MEDIUM
Thai Renovation,Bangkok,กรุงเทพมหานคร,,https://thairenovation.com/,,06-5730-0999,thairenovation@gmail.com,MEDIUM
VaSLab Architecture,Bangkok,กรุงเทพมหานคร,,https://www.vaslabarchitecture.com/,,0-2741-8099,,MEDIUM
Instyle Deco Bangkok,Bangkok,กรุงเทพมหานคร,,https://www.instyledecoparis.com/,,0-92-448-5141,contact@instyledecoparis.com,MEDIUM
Sunny Cottage,Bangkok,กรุงเทพมหานคร,,https://www.decorationbydiana.com/,,08-1656-5808,,MEDIUM
Decoration by Diana,Bangkok,กรุงเทพมหานคร,,https://www.decorationbydiana.com/,,08-1656-5808,,MEDIUM
IWA Design Bangkok,Bangkok 10230,กรุงเทพมหานคร,,https://iwadesignthailand.com/,,02-530-1771,info.th@iwadesign.com,MEDIUM
AIM INTERIOR DESIGN,Bangkok,กรุงเทพมหานคร,https://www.facebook.com/aiminteriordesign.official/,,,0-62-456-5099,info@aiminterior.design,MEDIUM
"Interiorbkk Co.,Ltd.","Thonglor, Bangkok",กรุงเทพมหานคร,https://www.facebook.com/interiorbkk/,https://interiorbkk.com,,0-91-119-2058,contact@interiorbkk.com,MEDIUM
ARTRA Interior,Bangkok,กรุงเทพมหานคร,https://www.facebook.com/artrainterior/,,,0-2-114-8488,,MEDIUM
PNN Interior Design,Bangkok,กรุงเทพมหานคร,https://www.facebook.com/pnninterior/,https://pnninterior.com,,0-98-446-5653,pnninterior@gmail.com,MEDIUM
32 Interior Design,Bangkok 10260,กรุงเทพมหานคร,https://www.facebook.com/32Interiordesign/,,,036914783,,MEDIUM
15 Degree Studio,Bangkok,กรุงเทพมหานคร,https://www.facebook.com/15DegreeStudio,https://www.15degreestudio.com/,,0925496995,info@15degreestudio.com,MEDIUM
Hafele Design Studio,,กรุงเทพมหานคร,,https://hafelethailand.com,,02-768-7171,,MEDIUM
Bluechip Consultant,,กรุงเทพมหานคร,https://www.facebook.com/bluechipconstruction,https://bluechip.co.th,,0-63-329-4611,,MEDIUM
OB Designs,,กรุงเทพมหานคร,,https://obdesigns.com,,01116444197,,MEDIUM
Architects 49,,กรุงเทพมหานคร,,https://a49.co.th,,0-2259-3535,,MEDIUM
CBRE Design Collective,,กรุงเทพมหานคร,,https://cbre.co.th,,0-2-119-2938,,MEDIUM
ปิโก (ไทยแลนด์),"Capital: 215,624,775",กรุงเทพมหานคร,,https://www.picothai.com/,,02-748-7007,,MEDIUM
Quality Touch,Khon Kaen,ขอนแก่น,https://www.facebook.com/QualityTouchKhonKaen/,https://qualitytouch.homes/,,0-63-421-1054,contact@qualitytouch.homes,MEDIUM
Euro Design Furniture,"229/106 Thepprasit Rd, Nongprue, Banglamung, Chonburi 20150",ชลบุรี,https://www.facebook.com/EDFPattaya,https://www.euro-design-furniture.com,,0-92-272-8200,info@euro-design-furniture.com,MEDIUM
Archimontage Design Fields Sophisticated,224/21 อาคารวิคตอเรีย เมืองทองธานี ถนนแจ้งวัฒนะ ตำบลบางพูด อำเภอปากเกร็ด จังหวัดนนทบุรี,นนทบุรี,https://www.facebook.com/archimontage/,,,08-1622-2026,,MEDIUM
POAR Architects,ถนนรัตนาธิเบศร์ ตำบลบางกระสอ อำเภอเมืองฯ จังหวัดนนทบุรี,นนทบุรี,https://www.facebook.com/poar.company/,http://poar.co/,,08-2346-7770,,MEDIUM
Studiomake,44/4 ซอยบ้านไทรม้า ถนนรัตนาธิเบศร์ ตำบลไทรม้า อำเภอเมืองฯ จังหวัดนนทบุรี,นนทบุรี,https://www.facebook.com/Studiomake/,,,0-2528-6212,,MEDIUM
มานะชัย อุดมโชค,58/112 หมู่6 หมู่บ้านโนเบิล จีโอ พระราม 5 ถนนนครอินท์ ตำบลบางขุนกอง อำเภอบางกรวย จังหวัดนนทบุรี,นนทบุรี,,https://marsportfolio.wordpress.com/,,08-8015-7583,,MEDIUM
168 To Be Design,"89 Cosmo Office Park, 6th Floor, Unit P, Nonthaburi",นนทบุรี,https://www.facebook.com/HR168tobedesign/,https://www.168tobedesign.co.th,Kullasatree,0-2102-8812,kullasatree@168tobedesign.co.th,MEDIUM
Thai Interior Design,Nonthaburi,นนทบุรี,https://www.facebook.com/thaiinteriordesign.office/&amp;sa=U&amp;ved=2ahUKEwj5sOqSp_CSAxVXzTgGHdYaNrQQFnoECAUQAg&amp;usg=AOvVaw2DYEfcLnY2iVhge8IgNMNX,https://thai-interiordesign.com/&amp;sa=U&amp;ved=2ahUKEwj5s,คุณอิฐ,0-98-505-0999,,MEDIUM
Chaleeya Design,5/21 ซอยพหลโยธิน 60 ถนนพหลโยธิน ตำบลคูคต อำเภอลำลูกกา จังหวัดปทุมธานี,ปทุมธานี,https://www.facebook.com/chaleeyaDESIGN/,,,08-1924-2817,,MEDIUM
Taweecool Architects,112/41-42 หมู่ที่ 18 หมู่บ้านขวัญโดมวิลล่า ซอยทรัพย์ไพลิน ตำบลคลองหนึ่ง อำเภอคลองหลวง จังหวัดปทุมธานี,ปทุมธานี,https://www.facebook.com/Taweecool-architects-290724894471452/,,,06-1761-1947,,MEDIUM
Hafele Design Studio Hua Hin,"15/84 Hua Hin 29, Soi Muban Borfai, Hua Hin, Prachuap Khiri Khan 77110",ประจวบคีรีขันธ์,https://www.facebook.com/hafelethailand/,https://hafelethailand.com/en/studio/huahin/,,0-32-547-704,,MEDIUM
Ferior Interior,"256/1 Petchkasem Road, Hua Hin, Prachuap Khiri Khan",ประจวบคีรีขันธ์,https://www.facebook.com/feriorinterior,https://feriorinterior.com/,Morten,0-80-827-4788,morten@feriorinterior.com,MEDIUM
sea.monkey.coconut,1 หมู่ที่ 15 ซอยไร่วิรัชต์ ตำบลหินเหล็กไฟ อำเภอหัวหิน จังหวัดประจวบคีรีขันธ์,ประจวบคีรีขันธ์,https://www.facebook.com/sea.monkey.coconut/,,,08-0910-2209,,MEDIUM
Curtain Outlet Hua Hin,"Hua Hin, Prachuap",ประจวบคีรีขันธ์,,,,032-908695,"0-32-908-695, 0-86-366-3866",MEDIUM
Bodin Chapa Architects,36/31 หมู่ที่ 1 ตำบลอุทัย อำเภออุทัย จังหวัดพระนครศรีอยุธยา,พระนครศรีอยุธยา,https://www.facebook.com/BodinChapaArchitects/,,,08-5561-0910,,MEDIUM
Maryana Interior Design,Phuket,ภูเก็ต,,https://www.maryana.design/,,0-80-529-3353,info@maryana.design,MEDIUM
Kapsule Interior Design,Phuket/Bangkok,ภูเก็ต,https://www.facebook.com/Kapsulephuket/,https://kapsule-interiordesign.com/,,0-99-160-0042,guidonoten@gmail.com,MEDIUM
Interior Design Phuket,Phuket,ภูเก็ต,,https://www.interiordesignphuket.com/,,0-61-503-6341,info@interiordesignphuket.com,MEDIUM
Architects11,Phuket,ภูเก็ต,https://www.facebook.com/architects11/,https://www.architects11.com/,,0-76-322-085,info@architects11.com,MEDIUM
Nakkarat Architects,Phuket,ภูเก็ต,,https://www.nakkarat.com/,,0-81-787-5971,info@nakkarat.com,MEDIUM
M2 Plus,Phuket,ภูเก็ต,https://www.facebook.com/m2plusphuket/,https://www.m2.plus,Mary Pakamard,0-95-412-2891,info@m2.plus,MEDIUM
Island Architect Phuket,Phuket,ภูเก็ต,https://www.facebook.com/islandarchitect/,https://www.islandarchitect.com/,,02632853,,MEDIUM
TUID (Enter Projects),Phuket/Bangkok,ภูเก็ต,,https://tu-id.net/,Tushar Urumkar,,turumkar@yahoo.com,MEDIUM
Hafele Design Studio Phuket,Phuket 83000,ภูเก็ต,https://www.facebook.com/hafelethailand/,https://www.hafele.com/th/en/,,0-76-304-460,,MEDIUM
TUID,,ภูเก็ต,,https://tu-id.net,,,turumkar@yahoo.com,MEDIUM
Home Solution Services Rayong,"100/28 Moo 1, Phe Klaeng Klam Rd. T.Phe, A.Muang, Rayong 21160",ระยอง,,https://www.homeservicerayong.com/,Fredrik Skoglof,0-93-496-6615,fredrik.skoglof@homeservicerayong.com,MEDIUM
ชาญ เดคคอร์เรชั่น จำกัด,Capital: 1000000,สมุทรปราการ,,http://charndecoration.com,,0960323918,,MEDIUM
Brianna Design,"Koh Samui, Surat Thani",สุราษฎร์ธานี,https://www.facebook.com/p/Brianna-Design-100090026174774/,https://briannadesign.net/,,,info@briannadesign.net,MEDIUM
Decor Choice,"2/19-20 Adulyadej Rd. T.Markhang Capitol District, Udon Thani 41000",อุดรธานี,,https://www.decorschoice.co.th/,,0-42-221-237,decorschoice@gmail.com,MEDIUM
Hed Design Studio,64/14 ถนนแจ่มนุสรณ์ ตำบลหมากแข้ง อำเภอเมืองฯ จังหวัดอุดรธานี,อุดรธานี,https://www.facebook.com/Hed-design-studio-203065123151482/,,,08-9494-5939,,MEDIUM
GoodSign Production,Chiang Rai,เชียงราย,https://www.facebook.com/ByGoodSignProduction/,https://www.goodsign-production.com/,,08-609-8440,,MEDIUM
Four Seasons Tented Camp,Chiang Rai,เชียงราย,,https://www.fourseasons.com/chiangrai/,,062733311,,MEDIUM
Inthenorth Design,Chiang Mai,เชียงใหม่,,https://www.inthenorthdesign.com,,0-53-300-440,inthenorthdesign@gmail.com,MEDIUM
Creation Tamarine,Chiang Mai,เชียงใหม่,,https://www.creationtamarine.com/,,0-53-247-019,info@creationtamarine.com,MEDIUM
IN10 Interior Design,Chiang Mai,เชียงใหม่,https://www.facebook.com/in10interior/,,,065-020-3636,in10interior@gmail.com,MEDIUM
Full Scale Studio,44/1 หมู่ที่1 ถนนคันคลองชลประทาน ตำบลช้างเผือก อำเภอเมืองฯ จังหวัดเชียงใหม่,เชียงใหม่,https://www.facebook.com/fullscalestudiochiangmai/,,,08-9154-1758,,MEDIUM
Plankrich,96 หมู่ที่ 2 ตำบลฟ้าฮ่าม อำเภอเมืองฯ จังหวัดเชียงใหม่,เชียงใหม่,,http://www.plankrich.com/,,08-1366-0002,,MEDIUM
โฆษิต กรรณสูต,22 ถนนหลิ่งกอก ตำบลช้างเผือก อำเภอเมืองฯ จังหวัดเชียงใหม่,เชียงใหม่,,,,09-8748-8378,avant3494@gmail.com,MEDIUM
Hafele Design Studio Chiang Mai,Chiang Mai 50000,เชียงใหม่,https://www.facebook.com/hafelethailand/,https://hafelethailand.com/en/studio/chiangmai/,,0-53-240-300,,MEDIUM
Thaicong Interior,Thailand,,,https://thaicong.com/,,,huyphan@thaicong.com,MEDIUM
Studio Act of Kindness,394 ซอยแสนสบาย 8 (แยก 3) ถนนพระรามที่ 4 แขวงพระโขนง เขตคลองเตย กรุงเทพฯ,กรุงเทพมหานคร,https://www.facebook.com/studiokindness/,https://www.studioactofkindness.com/,,,,LOW
Rise Design Studio,Bangkok,กรุงเทพมหานคร,https://www.facebook.com/risedesignstudio.th,https://www.risedesign-studio.com/,,,,LOW
BB Design Thailand,Bangkok,กรุงเทพมหานคร,https://www.facebook.com/BB.Design.2013/,https://www.bbdesign-th.com/,,,,LOW
SIWA INTERIOR,Bangkok,กรุงเทพมหานคร,https://www.facebook.com/siwainterior/,https://siwainterior.com,,,,LOW
Pattaya Interior Design (TDC),"Pattaya, Chonburi",ชลบุรี,https://www.facebook.com/pattayainteriordesigner/,https://www.pattayainteriordesign.com/,,,,LOW
Hafele Design Studio Pattaya,"Pattaya, Chonburi",ชลบุรี,https://www.facebook.com/hafelethailand/,https://www.hafelethailand.com/en/hafele-design-studio/,,,,LOW
Living Hua Hin,"Hua Hin, Prachuap",ประจวบคีรีขันธ์,https://www.facebook.com/livinghuahin/,https://www.livinghuahin.com/,,,,LOW
Enter Projects Asia,Phuket,ภูเก็ต,https://www.facebook.com/enterprojectsasia/,https://www.enterprojectsasia.com/,,,,LOW
Design Republic,Phuket,ภูเก็ต,https://www.facebook.com/designrepublicphuket/,https://www.designrepublic.co.th/,,,,LOW
Southson Design,"Hat Yai, Songkhla",สงขลา,https://www.facebook.com/southsondesign,https://www.southsondesign.com/,,,,LOW
Niyom Architecture Chiang Mai,Chiang Mai,เชียงใหม่,https://www.facebook.com/niyomarch/,https://www.niyomarch.com/,,,,LOW
